iter	Passed	Remaining
0	1	184
1	2	127
2	3	104
3	3	89
4	4	82
5	4	78
6	5	74
7	6	71
8	6	69
9	7	67
10	8	67
11	10	76
12	11	79
13	13	80
14	14	79
15	15	79
16	15	77
17	16	76
18	17	75
19	18	73
20	19	71
21	19	69
22	20	68
23	20	66
24	21	64
25	22	63
26	22	61
27	23	60
28	25	61
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	55
37	33	55
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	38	49
44	40	49
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	43
52	47	42
53	48	41
54	48	40
55	49	38
56	50	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	59	26
69	60	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	67	20
77	68	19
78	70	18
79	72	18
80	73	17
81	73	16
82	74	15
83	75	14
84	75	13
85	76	12
86	77	11
87	77	10
88	78	9
89	78	8
90	79	7
91	80	6
92	80	6
93	81	5
94	82	4
95	82	3
96	83	2
97	85	1
98	86	0
99	87	0
