iter	Passed	Remaining
0	154	154446
1	156	78143
2	158	52779
3	161	40198
4	163	32516
5	165	27364
6	166	23688
7	168	20937
8	170	18775
9	172	17050
10	174	15671
11	181	14929
12	183	13911
13	185	13032
14	187	12281
15	190	11724
16	192	11133
17	194	10595
18	196	10131
19	198	9702
20	200	9330
21	202	8993
22	206	8755
23	208	8461
24	209	8189
25	212	7942
26	213	7711
27	239	8330
28	242	8116
29	244	7902
30	246	7696
31	247	7500
32	251	7370
33	253	7216
34	255	7053
35	257	6885
36	262	6842
37	265	6730
38	268	6620
39	270	6488
40	272	6364
41	273	6248
42	275	6135
43	277	6030
44	280	5946
45	282	5862
46	284	5769
47	286	5678
48	288	5591
49	289	5509
50	292	5433
51	300	5481
52	303	5417
53	305	5347
54	307	5283
55	309	5219
56	310	5144
57	312	5073
58	314	5009
59	315	4942
60	316	4877
61	318	4813
62	319	4756
63	322	4709
64	326	4703
65	328	4655
66	331	4612
67	333	4571
68	335	4525
69	343	4561
70	345	4515
71	347	4475
72	348	4431
73	350	4387
74	352	4343
75	366	4459
76	368	4418
77	370	4380
78	377	4397
79	378	4357
80	381	4324
81	382	4287
82	383	4236
83	385	4199
84	390	4205
85	392	4169
86	393	4133
87	396	4107
88	398	4075
89	400	4051
90	404	4044
91	406	4012
92	408	3987
93	410	3956
94	412	3933
95	414	3903
96	416	3874
97	427	3932
98	431	3926
99	436	3929
100	442	3935
101	444	3909
102	445	3883
103	447	3856
104	455	3879
105	456	3849
106	457	3821
107	459	3793
108	460	3764
109	461	3737
110	463	3712
111	469	3721
112	473	3714
113	477	3711
114	482	3711
115	484	3691
116	485	3664
117	487	3644
118	490	3634
119	492	3613
120	494	3592
121	495	3567
122	498	3556
123	510	3609
124	513	3597
125	516	3584
126	518	3565
127	520	3548
128	522	3530
129	524	3512
130	526	3490
131	528	3475
132	531	3466
133	533	3449
134	535	3432
135	537	3416
136	539	3396
137	540	3378
138	546	3386
139	548	3370
140	550	3355
141	551	3332
142	553	3317
143	555	3300
144	560	3307
145	562	3292
146	564	3276
147	566	3260
148	568	3244
149	571	3237
150	574	3227
151	576	3216
152	578	3202
153	580	3187
154	583	3182
155	586	3171
156	588	3161
157	593	3160
158	602	3185
159	604	3173
160	605	3153
161	608	3149
162	610	3134
163	611	3119
164	615	3116
165	620	3117
166	623	3108
167	625	3096
168	627	3084
169	629	3072
170	630	3058
171	632	3046
172	638	3050
173	643	3054
174	654	3085
175	656	3072
176	657	3058
177	659	3046
178	661	3034
179	662	3019
180	664	3005
181	665	2993
182	667	2980
183	669	2969
184	670	2954
185	672	2942
186	674	2933
187	676	2921
188	678	2911
189	681	2904
190	686	2907
191	688	2895
192	689	2884
193	692	2878
194	694	2868
195	726	2981
196	729	2972
197	733	2972
198	738	2972
199	740	2963
200	742	2952
201	745	2947
202	749	2943
203	752	2936
204	754	2925
205	755	2913
206	757	2902
207	761	2900
208	766	2901
209	769	2894
210	777	2906
211	779	2897
212	782	2890
213	784	2881
214	786	2872
215	788	2862
216	867	3130
217	869	3118
218	872	3112
219	875	3103
220	877	3093
221	880	3084
222	882	3074
223	884	3063
224	887	3055
225	889	3047
226	898	3061
227	900	3049
228	902	3037
229	903	3025
230	905	3014
231	907	3003
232	909	2994
233	967	3168
234	969	3156
235	971	3143
236	972	3131
237	974	3121
238	976	3110
239	978	3098
240	980	3089
241	982	3077
242	984	3066
243	985	3054
244	987	3044
245	991	3038
246	993	3027
247	994	3016
248	996	3005
249	998	2994
250	999	2984
251	1001	2972
252	1003	2961
253	1016	2985
254	1044	3050
255	1045	3039
256	1047	3028
257	1049	3017
258	1050	3006
259	1052	2995
260	1059	2999
261	1076	3031
262	1078	3020
263	1079	3010
264	1081	3000
265	1084	2991
266	1085	2980
267	1088	2974
268	1090	2963
269	1092	2952
270	1093	2941
271	1095	2930
272	1096	2920
273	1098	2909
274	1099	2899
275	1101	2889
276	1104	2882
277	1105	2872
278	1107	2862
279	1109	2852
280	1110	2841
